    Date,Alert,Point Barrow,Station P,La Jolla Pier,Baja,Mauna Loa,Christmas Island,American Samoa,Kermadec Islands,New Zealand,South Pole
1/15/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/15/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/15/1957,NaN,NaN,NaN,315.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/15/1957,NaN,NaN,NaN,315.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/15/1957,NaN,NaN,NaN,315.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/15/1957,NaN,NaN,NaN,315.28,NaN,NaN,NaN,NaN,NaN,NaN,312.79
7/15/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/15/1957,NaN,NaN,NaN,309.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/15/1957,NaN,NaN,NaN,309.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/15/1957,NaN,NaN,NaN,312.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/15/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/15/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.48
1/15/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/15/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/15/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.3
4/15/1958,NaN,NaN,NaN,316.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/15/1958,NaN,NaN,NaN,317.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/15/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314.51
7/15/1958,NaN,NaN,NaN,313.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/15/1958,NaN,NaN,NaN,310.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/15/1958,NaN,NaN,NaN,311.09,NaN,NaN,NaN,NaN,NaN,NaN,315.33
10/15/1958,NaN,NaN,NaN,312.77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/15/1958,NaN,NaN,NaN,315.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/15/1958,NaN,NaN,NaN,316.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/15/1959,NaN,NaN,NaN,317.22,NaN,NaN,NaN,NaN,NaN,NaN,315.09
2/15/1959,NaN,NaN,NaN,316.75,NaN,NaN,NaN,NaN,NaN,NaN,315.13
3/15/1959,NaN,NaN,NaN,317.65,NaN,NaN,NaN,NaN,NaN,NaN,315.08
4/15/1959,NaN,NaN,NaN,317.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/15/1959,NaN,NaN,NaN,317.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/15/1959,NaN,NaN,NaN,317.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7/15/1959,NaN,NaN,NaN,313.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8/15/1959,NaN,NaN,NaN,310.28,NaN,NaN,NaN,NaN,NaN,NaN,315.98
9/15/1959,NaN,NaN,NaN,311.29,NaN,NaN,NaN,NaN,NaN,NaN,316.24
10/15/1959,NaN,NaN,NaN,314.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11/15/1959,NaN,NaN,NaN,316.41,NaN,NaN,NaN,NaN,NaN,NaN,316.31
12/15/1959,NaN,NaN,NaN,315.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1/15/1960,NaN,NaN,NaN,317.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2/15/1960,NaN,NaN,NaN,317.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/15/1960,NaN,NaN,NaN,317.81,NaN,317.69,NaN,NaN,NaN,NaN,NaN
4/15/1960,NaN,NaN,NaN,319.61,NaN,319.06,NaN,NaN,NaN,NaN,NaN
5/15/1960,NaN,NaN,NaN,320.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6/15/1960,NaN,NaN,NaN,318.04,NaN,NaN,NaN,NaN,NaN,NaN,316.4
7/15/1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.73
8/15/1960,NaN,NaN,NaN,NaN,NaN,315.74,NaN,NaN,NaN,NaN,316.76
9/15/1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10/15/1960,NaN,NaN,NaN,NaN,NaN,312.84,NaN,NaN,NaN,NaN,NaN
11/15/1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/15/1960,NaN,NaN,NaN,NaN,NaN,316.8,NaN,NaN,NaN,NaN,NaN
1/15/1961,NaN,NaN,NaN,NaN,NaN,317.4,NaN,NaN,NaN,NaN,NaN
2/15/1961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.98
3/15/1961,NaN,NaN,NaN,NaN,NaN,318.13,NaN,NaN,NaN,NaN,NaN
4/15/1961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/15/1961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.8
6/15/1961,NaN,NaN,NaN,NaN,NaN,318.82,NaN,NaN,NaN,NaN,316.86
7/15/1961,NaN,315.23,NaN,NaN,NaN,318.94,NaN,NaN,NaN,NaN,316.95
8/15/1961,NaN,310.13,NaN,NaN,NaN,315.49,NaN,NaN,NaN,NaN,317.37
9/15/1961,NaN,312.37,NaN,NaN,NaN,315.62,NaN,NaN,NaN,NaN,317.67
10/15/1961,NaN,317.14,NaN,NaN,NaN,314.91,NaN,NaN,NaN,NaN,317.75
