date,Mauna Loa CO2,HOT pCO2,BATS pCO2,ESTOC pCO2,HOT pH,BATS pH,ESTOC pH
3/15/1960,317.69,,,,,,
4/15/1960,319.06,,,,,,
8/15/1960,315.74,,,,,,
10/15/1960,312.84,,,,,,
12/15/1960,316.8,,,,,,
1/15/1961,317.4,,,,,,
3/15/1961,318.13,,,,,,
6/15/1961,318.82,,,,,,
7/15/1961,318.94,,,,,,
8/15/1961,315.49,,,,,,
9/15/1961,315.62,,,,,,
10/15/1961,314.91,,,,,,
11/15/1961,316.17,,,,,,
12/15/1961,318.15,,,,,,
1/15/1962,317.86,,,,,,
2/15/1962,318.35,,,,,,
3/15/1962,320.02,,,,,,
4/15/1962,320.29,,,,,,
5/15/1962,321.53,,,,,,
6/15/1962,320.06,,,,,,
7/15/1962,318.01,,,,,,
8/15/1962,317.12,,,,,,
9/15/1962,315.36,,,,,,
10/15/1962,314.66,,,,,,
11/15/1962,316.95,,,,,,
9/15/1963,316.42,,,,,,
12/15/1964,319.02,,,,,,
1/15/1965,319.92,,,,,,
4/15/1965,322.61,,,,,,
7/15/1965,319.27,,,,,,
1/15/1966,320.5,,,,,,
2/15/1966,321.89,,,,,,
4/15/1966,324.42,,,,,,
10/15/1966,319.33,,,,,,
11/15/1966,319.76,,,,,,
12/15/1966,321.15,,,,,,
6/15/1967,324.84,,,,,,
7/15/1967,322.76,,,,,,
3/15/1968,323.28,,,,,,
5/15/1968,326.23,,,,,,
7/15/1968,323.6,,,,,,
8/15/1968,322.58,,,,,,
10/15/1968,319.38,,,,,,
11/15/1968,320.98,,,,,,
12/15/1968,323.06,,,,,,
1/15/1969,324.28,,,,,,
2/15/1969,324.15,,,,,,
4/15/1969,326.55,,,,,,
5/15/1969,328.14,,,,,,
6/15/1969,326.73,,,,,,
8/15/1969,323.73,,,,,,
9/15/1969,322.29,,,,,,
10/15/1969,321,,,,,,
11/15/1969,323.36,,,,,,
12/15/1969,323.52,,,,,,
1/15/1970,325.24,,,,,,
3/15/1970,326.79,,,,,,
4/15/1970,328.23,,,,,,
5/15/1970,328.33,,,,,,
7/15/1970,325.98,,,,,,
8/15/1970,323.39,,,,,,
9/15/1970,323.74,,,,,,
10/15/1970,323.09,,,,,,
11/15/1970,324.29,,,,,,
1/15/1971,326.06,,,,,,
2/15/1971,326.88,,,,,,
3/15/1971,327.01,,,,,,
4/15/1971,327.17,,,,,,
5/15/1971,328.54,,,,,,
6/15/1971,326.54,,,,,,
7/15/1971,326.89,,,,,,
8/15/1971,325.63,,,,,,
9/15/1971,323.52,,,,,,
12/15/1971,325.99,,,,,,
1/15/1972,326.76,,,,,,
2/15/1972,328.17,,,,,,
3/15/1972,328.54,,,,,,
4/15/1972,329.87,,,,,,
5/15/1972,330.48,,,,,,
6/15/1972,329.37,,,,,,
7/15/1972,328.78,,,,,,
